reference,prototype,composition
mp-23,A1--Cu--fcc,Ni
mp-134,A1--Cu--fcc,Al
mp-10257,A3--Mg--hcp,Ni
mp-998860,A2--W--bcc,Al
mp-1008728,A2--W--bcc,Ni
mp-1014111,,Ni
mp-1094136,,Ni
mp-1183144,A3'--alpha-La--double-hcp,Al
oqmd-8100,A1--Cu--fcc,Al
oqmd-22516,A2--W--bcc,Ni
oqmd-676148,A1--Cu--fcc,Ni
oqmd-677944,A3--Mg--hcp,Ni
oqmd-1214592,,Al
oqmd-1214639,,Ni
oqmd-1214681,,Al
oqmd-1214728,,Ni
oqmd-1214770,,Al
oqmd-1214817,,Ni
oqmd-1214859,,Al
oqmd-1214906,,Ni
oqmd-1214948,A15--beta-W,Al
oqmd-1214995,A15--beta-W,Ni
oqmd-1215037,,Al
oqmd-1215084,,Ni
oqmd-1215126,A2--W--bcc,Al
oqmd-1215215,A3--Mg--hcp,Al
oqmd-1215262,,Ni
oqmd-1215304,A3--Mg--hcp,Al
oqmd-1215394,A3'--alpha-La--double-hcp,Al
oqmd-1215441,A3'--alpha-La--double-hcp,Ni
oqmd-1215483,A4--C--dc,Al
oqmd-1215530,A4--C--dc,Ni
oqmd-1215572,A5--beta-Sn,Al
oqmd-1215619,A5--beta-Sn,Ni
oqmd-1215661,A6--In--bct,Al
oqmd-1215708,A6--In--bct,Ni
oqmd-1215750,,Al
oqmd-1215839,,Al
oqmd-1215886,,Ni
oqmd-1215928,,Al
oqmd-1215975,,Ni
oqmd-1216017,,Al
oqmd-1216067,,Ni
