family,color,line
A1--Cu--fcc,black,solid
A2--W--bcc,blue,solid
A3--Mg--hcp,red,dashed
A3'--alpha-La--double-hcp,cyan,dashdot
A4--C--dc,magenta,solid
A5--beta-Sn,#EAC117,solid
A6--In--bct,orange,solid
A7--alpha-As,gray,solid
A15--beta-W,green,solid
Ah--alpha-Po--sc,brown,solid
B1--NaCl--rock-salt,black,solid
B2--CsCl,blue,solid
B3--ZnS--cubic-zinc-blende,red,solid
L1_0--AuCu,cyan,solid
C1--CaF2--fluorite,black,solid
A15--Cr3Si,black,solid
D0_3--BiF3,blue,solid
L1_2--AuCu3,red,solid
L2_1--AlCu2Mn--heusler,black,solid
